"Plot11"
"Time (sec)","Linear Acceleration3 (mm/sec**2)","Acceleration3 (mm/sec**2)","Linear Acceleration4 (mm/sec**2)"
0,1.88400254305243e-12,-78.800835739913,-11.7702217217994
0.01,1.88401769590782e-12,-80.0840412984911,-11.7702986217253
0.02,1.88406349723731e-12,-83.961862914809,-11.7705261844037
0.03,1.88413956159347e-12,-90.39828470768,-11.7708862738295
0.04,1.8842464450497e-12,-99.4353584648861,-11.7713557397415
0.05,1.88438365884928e-12,-111.023569805694,-11.7718941778443
0.06,1.88455149731315e-12,-125.177463120339,-11.7724554522739
0.07,1.88474998810949e-12,-141.885656344571,-11.7729779199853
0.08,1.88497922532426e-12,-161.138944208332,-11.7733922123211
0.09,1.88523933463894e-12,-182.926637099964,-11.7736140078792
0.1,1.88553048210653e-12,-207.236732947105,-11.7735444313403
0.11,1.88585288475945e-12,-234.056250065706,-11.7730732763211
0.12,1.88620682008687e-12,-263.371231951937,-11.7720749438485
0.13,1.88659263790787e-12,-295.16700348532,-11.7704082170262
0.14,1.88701077361159e-12,-329.428484216849,-11.7679150589471
0.15,1.88746176144104e-12,-366.140502893562,-11.76442033132
0.16,1.88794625119044e-12,-405.288346123782,-11.7597294750342
0.17,1.88846502508775e-12,-446.858353732744,-11.7536271379466
0.18,1.88901901551774e-12,-490.838622709815,-11.7458762628873
0.19,1.88960932443382e-12,-537.219881469867,-11.7362160948369
0.2,1.89023724925194e-12,-585.996971426444,-11.7243591284436
0.21,1.89090429668742e-12,-637.169479591271,-11.7099913493271
0.22,1.89161221675099e-12,-690.744119430906,-11.6927670661009
0.23,1.89236302658061e-12,-746.736501354226,-11.6723069851296
0.24,1.89315903257864e-12,-805.172992984119,-11.6481965409281
0.25,1.8940028715768e-12,-866.094404275345,-11.619979344347
0.26,1.89489753358407e-12,-929.558549375871,-11.5871556002426
0.27,1.8958464010657e-12,-995.644574040218,-11.5491759730579
0.28,1.89685328419936e-12,-1064.45748773156,-11.5054364850222
0.29,1.89792246004249e-12,-1136.13364964645,-11.4552721338553
0.3,1.89905871401422e-12,-1210.84721399754,-11.3979495346403
0.31,1.90026738406681e-12,-1288.81772823328,-11.3326583757529
0.32,1.90155423082917e-12,-1370.30435954001,-11.258522777124
0.33,1.90292605001345e-12,-1455.66327235353,-11.1745221024174
0.34,1.90439039095594e-12,-1545.33256601412,-11.0795160545528
0.35,1.90595498446859e-12,-1639.79444374843,-10.9723062983708
0.36,1.90762858116542e-12,-1739.65783615579,-10.8515227728057
0.37,1.90942098578223e-12,-1845.67740898738,-10.7156034047456
0.38,1.91134286273335e-12,-1958.75714570706,-10.562798913145
0.39,1.91340582680627e-12,-2079.98277847337,-10.3911376047587
0.4,1.91562251132292e-12,-2210.65866061816,-10.198386469401
0.41,1.91800660208562e-12,-2352.34973231136,-9.98200852361506
0.42,1.92057285003561e-12,-2506.93182460374,-9.73911268390683
0.43,1.92333705197864e-12,-2676.65219170634,-9.46639477644116
0.44,1.92631598288292e-12,-2864.20247559036,-9.16006828283119
0.45,1.92952725592626e-12,-3072.80672142365,-8.81578335927055
0.46,1.93298907646283e-12,-3306.32753372344,-8.42853268174002
0.47,1.93671984190115e-12,-3569.39391061612,-7.99254293396415
0.48,1.9407375199275e-12,-3867.55466196587,-7.50115135991343
0.49,1.94505871043053e-12,-4207.46143096187,-6.94666801927078
0.5,1.94969725948924e-12,-4597.08491267513,-6.32022663153906
0.51,1.95466224415621e-12,-5045.96641018016,-5.61163077718576
0.52,1.95995508167634e-12,-5565.50354166331,-4.80920872898624
0.53,1.96556543497225e-12,-6169.26237861495,-3.89970066644321
0.54,1.97146561183222e-12,-6873.31797122371,-2.86817206655885
0.55,1.97760217877826e-12,-7696.45225599179,-1.69830063839482
0.56,1.9838860271798e-12,-8660.44404128861,-0.372470012340005
0.57,1.99017823691831e-12,-9790.0045774073,1.12747206943632
0.58,1.99627192181844e-12,-11112.1747202456,2.81865102131863
0.59,2.00187151417577e-12,-12655.1488449952,4.71507198299844
0.6,2.00656974480651e-12,-14445.7877358397,6.82403542598696
0.61,2.00982718118174e-12,-16505.3827624966,9.14097931114115
0.62,2.01096251867393e-12,-18843.0790910027,11.642553402752
0.63,2.00916728267996e-12,-21446.6630755699,14.2783089653621
0.64,2.0035634567168e-12,-24271.2414305592,16.9624314340361
0.65,1.99332244433462e-12,-27227.9314042561,19.568491762019
0.66,1.97785145493692e-12,-30176.8975486418,21.9317472523967
0.67,1.9570227821515e-12,-32930.8929082169,23.863786027881
0.68,1.93137719992037e-12,-35274.8165645306,25.1814966527776
0.69,1.90220025848177e-12,-37001.6719352658,25.7457533086442
0.7,1.87138853154455e-12,-37956.4119715248,25.4974595322334
0.71,1.84110844418797e-12,-38071.7341271044,24.4756056479913
0.72,1.81336075973396e-12,-37380.7496932518,22.8082821049805
0.73,1.78961751872063e-12,-36001.9565856506,20.6804247440039
0.74,1.77065162561781e-12,-34105.0487558036,18.2924632843411
0.75,1.75657302565352e-12,-31872.6900363536,15.8251884270982
0.76,1.74699924579716e-12,-29470.7351640181,13.4193487841098
0.77,1.74126509511491e-12,-27031.9377510227,11.1701650254452
0.78,1.73860300498613e-12,-24651.719035006,9.13202207770131
0.79,1.73826587411446e-12,-22391.6643107487,7.32778384695309
0.8,1.73959382894844e-12,-20286.4672545869,5.75868078842407
0.81,1.74203954639222e-12,-18351.3868765475,4.41266517404031
0.820000000000001,1.74516790821519e-12,-16588.7862630575,3.27063906868602
0.830000000000001,1.74864399451581e-12,-14993.0453350819,2.31054217674414
0.840000000000001,1.75221526466997e-12,-13554.2467898717,1.51000492452967
0.850000000000001,1.75569487156474e-12,-12260.5169857218,0.847756177922978
0.860000000000001,1.75894659701668e-12,-11099.5646988024,0.304355889827591
0.870000000000001,1.76187268655375e-12,-10059.5883274893,-0.13753082067962
0.880000000000001,1.76440441397333e-12,-9129.77281018861,-0.493111129463771
0.890000000000001,1.76649503365583e-12,-8300.5216189602,-0.775570632283051
0.900000000000001,1.76811468215667e-12,-7563.52362209938,-0.996232911011576
0.910000000000001,1.76924680870532e-12,-6911.72048054921,-1.16472937609286
0.920000000000001,1.76988576987964e-12,-6339.21669068479,-1.28915636010674
0.930000000000001,1.7700352859689e-12,-5841.15792677527,-1.37620875396787
0.940000000000001,1.76970754366258e-12,-5413.59292107904,-1.43128867176677
0.950000000000001,1.76892269659924e-12,-5053.32808798295,-1.45858634486961
0.960000000000001,1.76770869480977e-12,-4757.77927684959,-1.46114214233706
0.970000000000001,1.76610127346483e-12,-4524.8235536223,-1.44089097875459
0.980000000000001,1.76414400901988e-12,-4352.6523886575,-1.39869437309966
0.990000000000001,1.76188838569443e-12,-4239.62749203112,-1.33436629874212
1,1.7593938015186e-12,-4184.14032083042,-1.24669656368422
1.01,1.75672747089853e-12,-4184.476643735,-1.1334755449205
1.02,1.75396419151284e-12,-4238.68775245901,-0.991522903034388
1.03,1.75118595719987e-12,-4344.47016888333,-0.816721659377436
1.04,1.74848141270237e-12,-4499.05569269898,-0.60405760511165
1.05,1.74594516135119e-12,-4699.11346761473,-0.347662469346668
1.06,1.74367695238408e-12,-4940.66522315932,-0.0408576507754838
1.07,1.74178079133942e-12,-5219.01401806986,0.323806283834685
1.08,1.74036403396866e-12,-5528.68555850074,0.754520649823559
1.09,1.73953654087497e-12,-5863.37954841053,1.26020795448092
1.1,1.73940998682307e-12,-6215.92646476688,1.85053831258908
1.11,1.74009743470104e-12,-6578.24264829408,2.53598263553451
1.12,1.74171329916957e-12,-6941.27365724794,3.32791268395062
1.13,1.74437383961074e-12,-7294.91233923162,4.23875787083097
1.14,1.7481983352402e-12,-7627.87398752754,5.28222764554432
1.15,1.7533111066881e-12,-7927.50614532038,6.47360584883861
1.16,1.75984455586848e-12,-8179.50500617996,7.83011867870482
1.17,1.76794339401941e-12,-8367.50395265962,9.37136924230814
1.18,1.77777020535182e-12,-8472.49291717015,11.1198162614993
1.19,1.78951242763685e-12,-8472.02102988379,13.1012476239737
1.2,1.80339058826386e-12,-8339.07888802222,15.3450876764086
1.21,1.81966811370488e-12,-8041.01398048777,17.8848552080195
1.22,1.83865928404872e-12,-7537.1751807294,20.7568816626091
1.23,1.86073785610521e-12,-6777.72329776272,23.9997453294116
1.24,1.8863365749105e-12,-5701.08957886622,27.6502160752658
1.25,1.91593449185616e-12,-4232.60880225194,31.7370562840494
1.26,1.9500177830293e-12,-2284.47414478792,36.2698973395427
1.27,1.98899648807374e-12,240.833832468573,41.2216825423114
1.28,2.03305436619705e-12,3440.68942316712,46.503390911648
1.29,2.08191472198495e-12,7392.08859933191,51.9318903231341
1.3,2.13451575158384e-12,12119.1008609185,57.2008901238121
1.31,2.18870474736187e-12,17546.3907001899,61.8624219671612
1.32,2.24104870820575e-12,23457.0070277937,65.3604861056491
1.33,2.28707761137106e-12,29474.0254136047,67.1223034670517
1.34,2.32208050917471e-12,35100.6201024155,66.7129170136566
1.35,2.34233283777997e-12,39825.7805125004,63.9926685938124
1.36,2.34621995812075e-12,43260.3940273269,59.1917570245334
1.37,2.33464437049045e-12,45236.2351201417,52.8487794752608
1.38,2.31051888914474e-12,45819.0658585647,45.6449136694086
1.39,2.27771194907362e-12,45243.0620185618,38.224826500155
1.4,2.24002204158051e-12,43814.841925626,31.0809963083379
1.41,2.20054480794205e-12,41833.4855848298,24.5205784247663
1.42,2.16146954385665e-12,39545.941755932,18.689797946875
1.43,2.12415768978863e-12,37133.8761836775,13.6209545212057
1.44,2.08933801911725e-12,34719.1867209672,9.27806468531597
1.45,2.05731008475876e-12,32376.9554875964,5.59134897552384
1.46,2.02810987634482e-12,30148.9303262634,2.47932242284092
1.47,2.00162685729146e-12,28054.7954236059,-0.13864108386447
1.48,1.97767988449519e-12,26100.4841795512,-2.33619665666016
1.49,1.95606290086934e-12,24283.8858571592,-4.17773561627362
1.5,1.93657025318937e-12,22598.610816779,-5.71814175252745
1.51,1.91900987979381e-12,21036.2282971361,-7.00357682228666
1.52,1.90320827625278e-12,19587.7407634023,-8.07259222412192
1.53,1.88901182119096e-12,18244.3113560652,-8.95734884714041
1.54,1.87628562571989e-12,16997.677078826,-9.68472970471772
1.55,1.86491142801278e-12,15840.3172951052,-10.2773106019762
1.56,1.85478514481751e-12,14765.4892921375,-10.7541719304531
1.57,1.84581445277882e-12,13767.1894146274,-11.131561594055
1.58,1.83791659835793e-12,12840.0776467302,-11.4234288915598
1.59,1.83101643091577e-12,11979.3846245935,-11.6418429174297
1.6,1.82504490258597e-12,11180.8233719493,-11.797333974403
1.61,1.81993773001442e-12,10440.5005439185,-11.8991505810135
1.62,1.81563436958201e-12,9754.84016731849,-11.9554622200543
1.63,1.81207728119936e-12,9120.51934376881,-11.9735203112654
1.64,1.80921136322019e-12,8534.41481526367,-11.9597810136263
1.65,1.80698357130426e-12,7993.56098013475,-11.9200017386387
1.66,1.80534267805855e-12,7495.11815157408,-11.859317029979
1.67,1.80423914465047e-12,7036.34986646462,-11.782299035377
1.68,1.80362507771441e-12,6614.60794010266,-11.6930066264412
1.69,1.80345424868619e-12,6227.32393163633,-11.59502634627
1.7,1.80368215551923e-12,5872.0057311752,-11.4915075949835
1.71,1.80426611001336e-12,5546.23808125177,-11.3851938965492
1.72,1.8051653368746e-12,5247.68593207165,-11.2784515745877
1.73,1.80634107351666e-12,4974.09966044828,-11.1732967933867
1.74,1.80775666183729e-12,4723.32131749054,-11.07142158539
1.75,1.80937762557427e-12,4493.29120278842,-10.9742192484703
1.76,1.81117172889663e-12,4282.05419324798,-10.8828093122417
1.77,1.81310901352191e-12,4087.76538483896,-10.7980621303962
1.78,1.81516181312478e-12,3908.69472246544,-10.7206230591326
1.79,1.81730474491594e-12,3743.23039865456,-10.6509361027355
1.8,1.81951467932236e-12,3589.88089995888,-10.5892668915283
1.81,1.82177068946595e-12,3447.27565209122,-10.5357248340582
1.82,1.82405398247868e-12,3314.16429038587,-10.4902842791699
1.83,1.82634781514929e-12,3189.4146292639,-10.4528045414594
1.84,1.82863739653591e-12,3072.00944807052,-10.4230486682119
1.85,1.83090978025121e-12,2961.04223669142,-10.4007008524984
1.86,1.83315374915314e-12,2855.71205319822,-10.3853824157666
1.87,1.83535969479239e-12,2755.31767638075,-10.3766663296605
1.88,1.83751949397528e-12,2659.25121946888,-10.3740902648923
1.89,1.83962638463303e-12,2566.99136056747,-10.3771681768777
