"Plot13"
"Time (sec)","Angular Velocity2 (deg/sec)"
0,0
0.01,0.0525398448125471
0.02,0.109562207645756
0.03,0.175525575800611
0.04,0.254903038479954
0.05,0.352171488954124
0.06,0.471807890622049
0.07,0.618292082047686
0.08,0.796107466195835
0.09,1.00974170624952
0.1,1.2636875393489
0.11,1.56244366468664
0.12,1.91051576314732
0.13,2.3124176681651
0.14,2.77267274152812
0.15,3.29581545368986
0.16,3.88639330339933
0.17,4.54896906961579
0.18,5.28812346390946
0.19,6.10845826469198
0.2,7.01460023020096
0.21,8.01120552830672
0.22,9.10296490665777
0.23,10.2946100815244
0.24,11.590921087792
0.25,12.9967349195372
0.26,14.5169556410846
0.27,16.1565661631941
0.28,17.9206419071959
0.29,19.8143666024484
0.3,21.8430504755185
0.31,24.0121511095275
0.32,26.327297136565
0.33,28.7943169438649
0.34,31.4192645430579
0.35,34.2084596807195
0.36,37.1685238234462
0.37,40.3064230943717
0.38,43.6295158135173
0.39,47.1456042274709
0.4,50.8629903389744
0.41,54.7905353252076
0.42,58.9377213850606
0.43,63.3147143180691
0.44,67.9324239806429
0.45,72.8025584295547
0.46,77.9376654253874
0.47,83.35115209974
0.48,89.0572694517811
0.49,95.0710425728214
0.5,101.408119447011
0.51,108.084500021755
0.52,115.116092008259
0.53,122.518019341159
0.54,130.303582323639
0.55,138.482733547341
0.56,147.059896970525
0.57,156.030904570502
0.58,165.378803374956
0.59,175.068267655561
0.6,185.038424625532
0.61,195.194108305947
0.62,205.396005759799
0.63,215.450955856659
0.64,225.104841316394
0.65,234.04189310898
0.66,241.89517861248
0.67,248.272424397028
0.68,252.797880545203
0.69,255.164516780103
0.7,255.183802256632
0.71,252.817272559529
0.72,248.178686492331
0.73,241.506501039969
0.74,233.117315954705
0.75,223.355617067006
0.76,212.552364202931
0.77,200.998304034287
0.78,188.931753327797
0.79,176.537226249623
0.8,163.950554073342
0.81,151.266922879325
0.820000000000001,138.549473659965
0.830000000000001,125.837192495144
0.840000000000001,113.151552437819
0.850000000000001,100.501818263475
0.860000000000001,87.8891300388342
0.870000000000001,75.3095656299461
0.880000000000001,62.7563905821167
0.890000000000001,50.2216810549376
0.900000000000001,37.6974720161651
0.910000000000001,25.1765494710755
0.920000000000001,12.6529765544492
0.930000000000001,0.122420032451989
0.940000000000001,-12.4176749634041
0.950000000000001,-24.9680256080699
0.960000000000001,-37.5275439769778
0.970000000000001,-50.0934423354884
0.980000000000001,-62.6613981517243
0.990000000000001,-75.2257690369257
1,-87.7798498250808
1.01,-100.316165675383
1.02,-112.826795810189
1.03,-125.303723102173
1.04,-137.739204935904
1.05,-150.126160872117
1.06,-162.458572628899
1.07,-174.731891764508
1.08,-186.943450253812
1.09,-199.092868767058
1.1,-211.182456855731
1.11,-223.217598197006
1.12,-235.207112306583
1.13,-247.163581255198
1.14,-259.103625290215
1.15,-271.048103919613
1.16,-283.022207571878
1.17,-295.055387392185
1.18,-307.181044208751
1.19,-319.435858260084
1.2,-331.858583979174
1.21,-344.488050044622
1.22,-357.360000631971
1.23,-370.502255104984
1.24,-383.927513543205
1.25,-397.62297886232
1.26,-411.535951346293
1.27,-425.554882536657
1.28,-439.486452619753
1.29,-453.031600466411
1.3,-465.767564022376
1.31,-477.148118255709
1.32,-486.537929479583
1.33,-493.292624916802
1.34,-496.878802754952
1.35,-497.000619764161
1.36,-493.680868331493
1.37,-487.256803584619
1.38,-478.292948844709
1.39,-467.453261446228
1.4,-455.383941956134
