"Body 2 CM Motion"
"Time (sec)","Center of Mass Position6 (mm)","Center of Mass Position8 (mm)","Center of Mass Position9 (mm)"
0,7.94503351997378e-13,3987.27252370698,-1044.70352116386
0.01,7.94503351997378e-13,3987.26857291333,-1045.2919192921
0.02,7.94503351997378e-13,3987.25659149886,-1047.0571110566
0.03,7.94503351997378e-13,3987.23619243764,-1049.99908996738
0.04,7.94503351997378e-13,3987.20673093808,-1054.11784312142
0.05,7.94503351997378e-13,3987.16730480394,-1059.41334877834
0.06,7.94503351997378e-13,3987.1167549512,-1065.88557261869
0.07,7.94503351997378e-13,3987.0536660657,-1073.53446290336
0.08,7.94503351997378e-13,3986.97636739694,-1082.35994451983
0.09,7.94503351997378e-13,3986.88293371142,-1092.36191169152
0.1,7.94503351997378e-13,3986.77118634119,-1103.54021966371
0.11,7.94503351997378e-13,3986.63869438509,-1115.89467488543
0.12,7.94503351997378e-13,3986.48277600822,-1129.42502387881
0.13,7.94503351997378e-13,3986.30049983435,-1144.13094064131
0.14,7.94503351997378e-13,3986.08868641227,-1160.01201246615
0.15,7.94503351997378e-13,3985.84390972143,-1177.06772411098
0.16,7.94503351997378e-13,3985.56249868395,-1195.29744015958
0.17,7.94503351997378e-13,3985.24053862871,-1214.70038550286
0.18,7.94503351997378e-13,3984.87387265398,-1235.2756237362
0.19,7.94503351997378e-13,3984.45810280893,-1257.02203333566
0.2,7.94503351997378e-13,3983.98859100225,-1279.93828145642
0.21,7.94503351997378e-13,3983.46045953135,-1304.02279511557
0.22,7.94503351997378e-13,3982.86859108953,-1329.27372953606
0.23,7.94503351997378e-13,3982.2076280819,-1355.68893342114
0.24,7.94503351997378e-13,3981.47197105638,-1383.26591087565
0.25,7.94503351997378e-13,3980.6557760181,-1412.00177963376
0.26,7.94503351997378e-13,3979.75295034414,-1441.89322521958
0.27,7.94503351997378e-13,3978.75714696126,-1472.93645063197
0.28,7.94503351997378e-13,3977.66175639225,-1505.12712108066
0.29,7.94503351997378e-13,3976.45989620841,-1538.46030321536
0.3,7.94503351997378e-13,3975.14439734106,-1572.93039820325
0.31,7.94503351997378e-13,3973.70778660366,-1608.53106791983
0.32,7.94503351997378e-13,3972.14226474056,-1645.2551534686
0.33,7.94503351997378e-13,3970.4396787274,-1683.09458472358
0.34,7.94503351997378e-13,3968.59148803172,-1722.04028034018
0.35,7.94503351997378e-13,3966.58872276599,-1762.08203623344
0.36,7.94503351997378e-13,3964.42193277901,-1803.20840133247
0.37,7.94503351997378e-13,3962.08112574689,-1845.40653860415
0.38,7.94503351997378e-13,3959.55569220837,-1888.66206915314
0.39,7.94503351997378e-13,3956.83431516492,-1932.95889689694
0.4,7.94503351997378e-13,3953.90486119408,-1978.27901068103
0.41,7.94503351997378e-13,3950.75424969136,-2024.60226036754
0.42,7.94503351997378e-13,3947.36829593918,-2071.90610261283
0.43,7.94503351997378e-13,3943.73152303182,-2120.16531145465
0.44,7.94503351997378e-13,3939.82693653721,-2169.35164787031
0.45,7.94503351997378e-13,3935.6357546025,-2219.43348153287
0.46,7.94503351997378e-13,3931.13708466681,-2270.37535683994
0.47,7.94503351997378e-13,3926.30753613536,-2322.13749403937
0.48,7.94503351997378e-13,3921.12075620509,-2374.67521493206
0.49,7.94503351997378e-13,3915.54687345832,-2427.9382812384
0.5,7.94503351997378e-13,3909.55183089949,-2481.87013245102
0.51,7.94503351997378e-13,3903.09658678864,-2536.40700904922
0.52,7.94503351997378e-13,3896.13615812904,-2591.47694677094
0.53,7.94503351997378e-13,3888.61847829825,-2646.99862886149
0.54,7.94503351997378e-13,3880.48303783205,-2702.8800869781
0.55,7.94503351997378e-13,3871.65927655538,-2759.01724913115
0.56,7.94503351997378e-13,3862.06469944328,-2815.29234799216
0.57,7.94503351997378e-13,3851.6026994171,-2871.57222762216
0.58,7.94503351997378e-13,3840.16009439367,-2927.70662715723
0.59,7.94503351997378e-13,3827.60443140825,-2983.52658265133
0.6,7.94503351997378e-13,3813.78118747959,-3038.84317963603
0.61,7.94503351997378e-13,3798.51111857417,-3093.4470143386
0.62,7.94503351997378e-13,3781.58818512168,-3147.10887773212
0.63,7.94503351997378e-13,3762.77871444484,-3199.58234207052
0.64,7.94503351997378e-13,3741.82271730103,-3250.60904863387
0.65,7.94503351997378e-13,3718.43847327053,-3299.92746408371
0.66,7.94503351997378e-13,3692.33147975682,-3347.28554330934
0.67,7.94503351997378e-13,3663.20840859378,-3392.45697136208
0.68,7.94503351997378e-13,3630.79566819241,-3435.2594554769
0.69,7.94503351997378e-13,3594.86061040426,-3475.57219703762
0.7,7.94503351997378e-13,3555.23185766104,-3513.34882762725
0.71,7.94503351997378e-13,3511.81450244702,-3548.62244617917
0.72,7.94503351997378e-13,3464.5967298548,-3581.5011717577
0.73,7.94503351997378e-13,3413.646635644,-3612.15520028929
0.74,7.94503351997378e-13,3359.10066828748,-3640.79852577264
0.75,7.94503351997378e-13,3301.14698364361,-3667.66931004196
0.76,7.94503351997378e-13,3240.00742876599,-3693.01226834431
0.77,7.94503351997378e-13,3175.92109136984,-3717.06501963608
0.78,7.94503351997378e-13,3109.13105773836,-3740.04891386569
0.79,7.94503351997378e-13,3039.87483960345,-3762.16386426131
0.8,7.94503351997378e-13,2968.37815652357,-3783.58626399111
0.81,7.94503351997378e-13,2894.8514036836,-3804.46901199223
0.820000000000001,7.94503351997378e-13,2819.4880708586,-3824.94282412741
0.830000000000001,7.94503351997378e-13,2742.4644672282,-3845.11822020048
0.840000000000001,7.94503351997378e-13,2663.94025049814,-3865.08777916911
0.850000000000001,7.94503351997378e-13,2584.05940007306,-3884.92841137741
0.860000000000001,7.94503351997378e-13,2502.95139171688,-3904.70350771116
0.870000000000001,7.94503351997378e-13,2420.73241919705,-3924.46489745219
0.880000000000001,7.94503351997378e-13,2337.50657036337,-3944.25459015877
0.890000000000001,7.94503351997378e-13,2253.36690675905,-3964.10630138445
0.900000000000001,7.94503351997378e-13,2168.39642274418,-3984.04677425648
0.910000000000001,7.94503351997378e-13,2082.66887689808,-4004.09691376759
0.920000000000001,7.94503351997378e-13,1996.24949861163,-4024.27275129574
0.930000000000001,7.94503351997378e-13,1909.19557867245,-4044.58625532133
0.940000000000001,7.94503351997378e-13,1821.55695581923,-4065.0460016951
