"Plot8"
"Time (sec)","Linear Velocity5 (mm/sec)","Linear Velocity6 (mm/sec)","Velocity1 (mm/sec)"
0,0,0,0
0.01,1.88341166405626e-14,-0.79170177257887,-117.679554504382
0.02,3.76679277164445e-14,-1.60922616865821,-235.358690059108
0.03,5.65011292587245e-14,-2.47823794424584,-353.03688175268
0.04,7.53334162090581e-14,-3.42445165049207,-470.713394705416
0.05,9.41644830834852e-14,-4.47355122447105,-588.387175182054
0.06,1.1299402412479e-13,-5.65115088535852,-706.056743203488
0.07,1.31821732969113e-13,-6.98279425569968,-823.720075917449
0.08,1.50647302406695e-13,-8.4939418553123,-941.374496728911
0.09,1.69470424082052e-13,-10.2099582887903,-1059.01654253263
0.1,1.88290788115975e-13,-12.1561020806625,-1176.6418461008
0.11,2.07108082642297e-13,-14.3575157482376,-1294.24499594048
0.12,2.25921993245563e-13,-16.839218324708,-1411.81939460917
0.13,2.44732202288326e-13,-19.6261002918016,-1529.35710743882
0.14,2.63538388114553e-13,-22.7429216536924,-1646.84870055961
0.15,2.82340224119432e-13,-26.2143138997745,-1764.28307031118
0.16,3.01137377666754e-13,-30.0647871491811,-1881.64725667312
0.17,3.19929508844915e-13,-34.3187433045142,-1998.92624496488
0.18,3.38716269047629e-13,-39.0004967044242,-2116.10275341576
0.19,3.57497299364794e-13,-44.1343038631522,-2233.15700258076
0.2,3.76272228754398e-13,-49.7444052886657,-2350.06646324626
0.21,3.95040672004936e-13,-55.8550796818657,-2466.80558668437
0.22,4.13802227464929e-13,-62.4907139011781,-2583.34551225523
0.23,4.32556474498793e-13,-69.6758936794157,-2699.65374318724
0.24,4.51302970679199e-13,-77.4355163464608,-2815.69379499466
0.25,4.70041248686022e-13,-85.7949306990661,-2931.42480919382
0.26,4.88770812892526e-13,-94.7801090260438,-3046.80112761206
0.27,5.07491135618596e-13,-104.417857026569,-3161.77182183127
0.28,5.26201653029097e-13,-114.736068271649,-3276.28017119115
0.29,5.44901760653998e-13,-125.764031026362,-3390.26308155794
0.3,5.63590808506103e-13,-137.532796633654,-3503.650435649
0.31,5.82268095770973e-13,-150.075620279648,-3616.36436402179
0.32,6.00932865051862e-13,-163.428484118398,-3728.31842760111
0.33,6.19584296009648e-13,-177.630738657126,-3839.41666634549
0.34,6.38221498952987e-13,-192.725810905002,-3949.55259801514
0.35,6.56843507157815e-13,-208.762123954949,-4058.60796125508
0.36,6.75449269224058e-13,-225.79412624031,-4166.45136834852
0.37,6.94037640684367e-13,-243.88353206138,-4272.9367300943
0.38,7.12607375039402e-13,-263.100793299426,-4377.90144210055
0.39,7.31157114267317e-13,-283.526842707769,-4481.16429430206
0.4,7.49685378846196e-13,-305.255164462609,-4582.52305129496
0.41,7.68190557378534e-13,-328.394253582992,-4681.75164662616
0.42,7.8667089598594e-13,-353.070543286929,-4778.59692133352
0.43,8.05124487725744e-13,-379.43189242593,-4872.77482805748
0.44,8.23549262432052e-13,-407.65174754508,-4963.96600742042
0.45,8.41942977575318e-13,-437.934116204341,-5051.81063126113
0.46,8.6030321102632e-13,-470.519517217713,-5135.90239309744
0.47,8.78627357012412e-13,-505.692105438326,-5215.78151484566
0.48,8.96912627128605e-13,-543.788204852443,-5290.92663160714
0.49,9.15156059070453e-13,-585.206521837565,-5360.74541861763
0.5,9.3335453687833e-13,-630.42034579192,-5424.5638446944
0.51,9.51504828037736e-13,-679.992069774022,-5481.61398730864
0.52,9.69603644904943e-13,-734.590363486384,-5531.02044741944
0.53,9.87647740789083e-13,-795.010279922443,-5571.78558935025
0.54,1.00563405477444e-12,-862.196430735116,-5602.77415105537
0.55,1.02355992420256e-12,-937.269047494032,-5622.69832051622
0.56,1.04142338904923e-12,-1021.55221324696,-5630.10507838509
0.57,1.05922361937151e-12,-1116.60236569506,-5623.36921624396
0.58,1.07696150078993e-12,-1224.23372312065,-5600.69678600673
0.59,1.09464041504648e-12,-1346.53441749998,-5560.14675526141
0.6,1.11226724316877e-12,-1485.86340348243,-5499.68159801058
0.61,1.12985359064589e-12,-1644.81309450509,-5417.26107175927
0.62,1.14741717261078e-12,-1826.11697186536,-5310.99585357949
0.63,1.16498318782109e-12,-2032.47703360551,-5179.37655873606
0.64,1.18258534749976e-12,-2266.28709620617,-5021.58469975675
0.65,1.2002660335366e-12,-2529.24136416815,-4837.87021732637
0.66,1.21807492450874e-12,-2821.85066115514,-4629.94253723576
0.67,1.23606550423661e-12,-3142.94284892978,-4401.2748282173
0.68,1.25428932997948e-12,-3489.28481751821,-4157.18628758514
0.69,1.27278881350503e-12,-3855.49459807718,-3904.58042990238
0.7,1.2915902458023e-12,-4234.36920904807,-3651.30500801346
0.71,1.31069924667073e-12,-4617.62370516676,-3405.24305862153
0.72,1.33010022970144e-12,-4996.87238236185,-3173.37010529037
0.73,1.34975999610054e-12,-5364.58200192358,-2961.03569026235
0.74,1.36963405664399e-12,-5714.7542662764,-2771.62856856082
0.75,1.38967359397931e-12,-6043.22534441006,-2606.6297134716
0.76,1.40983131276415e-12,-6347.61606504929,-2465.93741539753
0.77,1.43006531609728e-12,-6627.05372471615,-2348.31039190048
0.78,1.45034099190963e-12,-6881.79941025225,-2251.80358062144
0.79,1.47063137453307e-12,-7112.88074977791,-2174.12615003432
0.8,1.49091656671199e-12,-7321.78403066415,-2112.8997879656
0.81,1.51118271504677e-12,-7510.22285900762,-2065.82501719564
0.820000000000001,1.53142087140066e-12,-7679.97891649702,-2030.77560458217
0.830000000000001,1.55162592574159e-12,-7832.8009564002,-2005.84278274294
0.840000000000001,1.57179569312354e-12,-7970.3468448009,-1989.34725806389
0.850000000000001,1.59193017380499e-12,-8094.15508164649,-1979.8324322671
0.860000000000001,1.61203097452087e-12,-8205.63546700698,-1976.04775383424
0.870000000000001,1.63210086552819e-12,-8306.071453557,-1976.92781389212
0.880000000000001,1.65214344545436e-12,-8396.62911854355,-1981.57045427411
0.890000000000001,1.67216288819139e-12,-8478.36945198118,-1989.2156227159
0.900000000000001,1.69216375014826e-12,-8552.26188311494,-1999.22576386773
0.910000000000001,1.71215082051933e-12,-8619.19778430936,-2011.06797938871
0.920000000000001,1.73212900116252e-12,-8680.00321768267,-2024.29788551066
0.930000000000001,1.75210320598345e-12,-8735.45051693482,-2038.54494834846
