"Plot9"
"Time (sec)","Acceleration1 (mm/sec**2)","Acceleration2 (mm/sec**2)","Linear Acceleration2 (mm/sec**2)"
0,9.40855923310997e-13,-84.5916664791331,-5.88180196239706
0.01,9.40855923310997e-13,-87.1728646530757,-5.88171196531227
0.02,9.40855923310997e-13,-94.9742678753696,-5.88143851840095
0.03,9.40855923310998e-13,-107.927856612824,-5.88097590485923
0.04,9.40855923310998e-13,-126.124546952052,-5.88031074078141
0.05,9.40855923310998e-13,-149.474760173556,-5.87942876775646
0.06,9.40855923310998e-13,-178.019806430401,-5.87830907842303
0.07,9.40855923310998e-13,-211.751919438211,-5.87692760087714
0.08,9.40855923310998e-13,-250.670248519657,-5.87525688970069
0.09,9.40855923310998e-13,-294.773796978914,-5.8732663090838
0.1,9.40855923310998e-13,-344.061660922316,-5.87092246073168
0.11,9.40855923310998e-13,-398.533444617334,-5.86819005542488
0.12,9.40855923310998e-13,-458.189300719273,-5.86503229993579
0.13,9.40855923310998e-13,-523.030232204065,-5.86141160941695
0.14,9.40855923310998e-13,-593.058466715394,-5.85729045785602
0.15,9.40855923310998e-13,-668.27769631934,-5.85263168880259
0.16,9.40855923310998e-13,-748.69374943651,-5.84739988939719
0.17,9.40855923310998e-13,-834.315155510023,-5.84156222890275
0.18,9.40855923310998e-13,-925.153708276407,-5.83508901657586
0.19,9.40855923310998e-13,-1021.2252253357,-5.82795472432751
0.2,9.40855923310998e-13,-1122.5510980842,-5.82013976176328
0.21,9.40855923310998e-13,-1229.15812394313,-5.81162970333666
0.22,9.40855923310998e-13,-1341.08103521761,-5.80241821523052
0.23,9.40855923310998e-13,-1458.36362511172,-5.79250742424768
0.24,9.40855923310998e-13,-1581.0594682318,-5.78190791756288
0.25,9.40855923310998e-13,-1709.23541449734,-5.77064172897219
0.26,9.40855923310998e-13,-1842.97231845937,-5.7587415638599
0.27,9.40855923310998e-13,-1982.36815497347,-5.74625266352424
0.28,9.40855923310998e-13,-2127.54050466068,-5.73323341144851
0.29,9.40855923310998e-13,-2278.62958635975,-5.71975614507817
0.3,9.40855923310998e-13,-2435.80162168258,-5.70590783638632
0.31,9.40855923310998e-13,-2599.25257707917,-5.69179061915766
0.32,9.40855923310998e-13,-2769.19441746169,-5.67751165983696
0.33,9.40855923310998e-13,-2945.91683903817,-5.66321683049662
0.34,9.40855923310998e-13,-3129.75830228292,-5.64907011486723
0.35,9.40855923310998e-13,-3321.04839423681,-5.6352166181916
0.36,9.40855923310998e-13,-3520.19333036318,-5.62182801058077
