"Plot12"
"Time (sec)","Angular Velocity1 (deg/sec)"
0,0
0.01,-1.6854873537346
0.02,-3.37096327457331
0.03,-5.05641719424372
0.04,-6.74184018869639
0.05,-8.42722607839703
0.06,-10.1125720653931
0.07,-11.7978801337736
0.08,-13.4831576301043
0.09,-15.1684192899909
0.1,-16.8536879033796
0.11,-18.5389961558876
0.12,-20.2243882627803
0.13,-21.9099218511405
0.14,-23.5956700672716
0.15,-25.2817238320717
0.16,-26.9681944882449
0.17,-28.6552166408853
0.18,-30.3429512421699
0.19,-32.0315890564743
0.2,-33.7213545021334
0.21,-35.4125097779957
0.22,-37.105359346627
0.23,-38.8002549401258
0.24,-40.4976009415034
0.25,-42.1978602410297
0.26,-43.9015605957548
0.27,-45.6093015223357
0.28,-47.3217617587458
0.29,-49.0397073329788
0.3,-50.7640002785209
0.31,-52.4956080403584
0.32,-54.235613583594
0.33,-55.9852266813065
0.34,-57.7457946045951
0.35,-59.5188159769556
0.36,-61.3059537188014
0.37,-63.1090495009207
0.38,-64.9301391716343
0.39,-66.771469036974
0.4,-68.6355129590536
0.41,-70.5249901254991
0.42,-72.4428832081995
0.43,-74.3924564908781
0.44,-76.3772732829873
0.45,-78.4012116164764
0.46,-80.4684767193699
0.47,-82.5836080788586
0.48,-84.75147792555
0.49,-86.9772766030556
0.5,-89.2664783783005
0.51,-91.6247786090135
0.52,-94.0579895850265
0.53,-96.571877523449
0.54,-99.1719168907598
0.55,-101.862929864216
0.56,-104.648571112861
0.57,-107.530603540006
0.58,-110.507909259952
0.59,-113.575173227769
0.6,-116.721196613237
0.61,-119.926845655137
0.62,-123.162747872154
0.63,-126.387034093643
0.64,-129.543699948844
0.65,-132.562479571563
0.66,-135.36134112352
0.67,-137.852561652683
0.68,-139.952529285374
0.69,-141.593923486194
0.7,-142.737289435815
0.71,-143.378322474805
0.72,-143.548259087834
0.73,-143.307321151052
0.74,-142.733707519097
0.75,-141.911719789255
0.76,-140.921962595864
0.77,-139.835003456347
0.78,-138.708440801099
0.79,-137.586534645307
0.8,-136.501378906438
0.81,-135.474772708585
0.820000000000001,-134.520232441497
0.830000000000001,-133.644840952285
0.840000000000001,-132.850804150125
0.850000000000001,-132.136692231857
0.860000000000001,-131.498392528061
0.870000000000001,-130.929821688561
0.880000000000001,-130.423447614385
0.890000000000001,-129.970666569813
0.900000000000001,-129.562073207578
0.910000000000001,-129.187653384631
0.920000000000001,-128.836922717292
0.930000000000001,-128.499028129311
0.940000000000001,-128.162825175636
0.950000000000001,-127.816940396765
0.960000000000001,-127.44982541258
0.970000000000001,-127.049807363561
0.980000000000001,-126.605138858559
0.990000000000001,-126.104049349562
1,-125.53479901294
1.01,-124.885735468937
1.02,-124.145353143846
1.03,-123.302354641145
1.04,-122.345713156185
1.05,-121.264734741026
1.06,-120.04911906859
1.07,-118.689017311011
1.08,-117.175085803208
1.09,-115.498534377397
1.1,-113.6511686307
1.11,-111.625425997202
1.12,-109.414406402579
1.13,-107.011899589455
1.14,-104.412413067715
1.15,-101.611207281554
1.16,-98.6043483136077
1.17,-95.3887937125827
1.18,-91.9625344754073
1.19,-88.3248266852327
1.2,-84.4765613649791
1.21,-80.4208376973013
1.22,-76.1638411069518
1.23,-71.7161421127657
1.24,-67.0945854642233
1.25,-62.3249505680905
1.26,-57.4455571227564
1.27,-52.5118824060078
1.28,-47.6019619625675
1.29,-42.8217358893941
1.3,-38.3084921927069
1.31,-34.2293151384861
1.32,-30.7706897055452
1.33,-28.1166045740635
1.34,-26.4169503913807
1.35,-25.7548153810564
1.36,-26.125775677126
1.37,-27.4390709952605
1.38,-29.5400892677756
1.39,-32.2435695492785
1.4,-35.364595403695
1.41,-38.7394331672648
1.42,-42.2349793324541
1.43,-45.7497023383906
1.44,-49.2098987347511
1.45,-52.5642423345537
1.46,-55.7783676766123
1.47,-58.8302599868552
1.48,-61.7066489648304
1.49,-64.4003301174178
1.5,-66.9082421409752
1.51,-69.2301182094063
1.52,-71.3675576539954
1.53,-73.3233949956553
1.54,-75.101276688022
1.55,-76.7053804400309
1.56,-78.1402312418674
1.57,-79.4105821376616
1.58,-80.5213376612932
1.59,-81.4775051666007
1.6,-82.2841630168
1.61,-82.9464399300041
1.62,-83.4694999886553
1.63,-83.85853084232
1.64,-84.1187331216876
1.65,-84.2553100407692
1.66,-84.2734565865114
1.67,-84.1783480753366
1.68,-83.9751280711625
1.69,-83.6688957808239
1.7,-83.2646931476445
