"Plot2"
"Time (sec)","Center of Mass Position2 (mm)","Center of Mass Position4 (mm)","Center of Mass Position5 (mm)"
0,3.67761376907083e-13,2012.29326648519,-16.2557180487627
0.01,3.67761376907083e-13,2012.28901527073,-16.5498606285154
0.02,3.67761376907083e-13,2012.27600207557,-17.4322822823628
0.03,3.67761376907083e-13,2012.25344824304,-18.9029654662992
0.04,3.67761376907083e-13,2012.22005605468,-20.9618799930309
0.05,3.67761376907083e-13,2012.17400878748,-23.6089819824923
0.06,3.67761376907083e-13,2012.11297079259,-26.8442122558572
0.07,3.67761376907083e-13,2012.03408758994,-30.6674943198864
0.08,3.67761376907083e-13,2011.93398597276,-35.0787319824838
0.09,3.67761376907083e-13,2011.80877411639,-40.077806546136
0.1,3.67761376907083e-13,2011.65404167712,-45.6645738061999
0.11,3.67761376907083e-13,2011.4648598724,-51.8388606934643
0.12,3.67761376907083e-13,2011.23578152269,-58.6004617486736
0.13,3.67761376907083e-13,2010.96084103405,-65.9491354539955
0.14,3.67761376907083e-13,2010.63355429519,-73.8846004776751
0.15,3.67761376907083e-13,2010.24691845552,-82.406531922014
0.16,3.67761376907083e-13,2009.79341154482,-91.5145576334108
0.17,3.67761376907083e-13,2009.26499188468,-101.208254686127
0.18,3.67761376907083e-13,2008.65309723536,-111.487146098641
0.19,3.67761376907083e-13,2007.94864360859,-122.350697887066
0.2,3.67761376907083e-13,2007.14202366507,-133.798316563502
0.21,3.67761376907083e-13,2006.22310460297,-145.829347160516
0.22,3.67761376907083e-13,2005.18122542833,-158.443071884947
0.23,3.67761376907083e-13,2004.00519347995,-171.638709516438
0.24,3.67761376907083e-13,2002.6832800638,-185.415415656518
0.25,3.67761376907083e-13,2001.2032150317,-199.772283924657
0.26,3.67761376907083e-13,1999.55218011691,-214.708348201885
0.27,3.67761376907083e-13,1997.71680081337,-230.222586028395
0.28,3.67761376907083e-13,1995.68313655826,-246.313923255598
0.29,3.67761376907083e-13,1993.43666894878,-262.981240040261
0.3,3.67761376907083e-13,1990.96228769225,-280.223378259328
0.31,3.67761376907083e-13,1988.24427395292,-298.039150417868
0.32,3.67761376907083e-13,1985.26628071536,-316.427350143566
0.33,3.67761376907083e-13,1982.01130977457,-335.386764148979
0.34,3.67761376907083e-13,1978.4616848443,-354.91618598553
0.35,3.67761376907083e-13,1974.59902032835,-375.014431249385
0.36,3.67761376907083e-13,1970.40418516574,-395.680354390649
0.37,3.67761376907083e-13,1965.8572611516,-416.91286695478
0.38,3.67761376907083e-13,1960.93749507096,-438.71095709392
0.39,3.67761376907083e-13,1955.62324391877,-461.073710147191
0.4,3.67761376907083e-13,1949.89191244778,-484.000329891071
0.41,3.67761376907083e-13,1943.71988221625,-507.490160034449
0.42,3.67761376907083e-13,1937.08243129751,-531.542705254808
0.43,3.67761376907083e-13,1929.95364378293,-556.157650914472
0.44,3.67761376907083e-13,1922.30630824783,-581.334880229183
0.45,3.67761376907083e-13,1914.11180442174,-607.074487276448
0.46,3.67761376907083e-13,1905.33997747506,-633.376783660937
0.47,3.67761376907083e-13,1895.95899963063,-660.242295913054
0.48,3.67761376907083e-13,1885.93521929984,-687.671749706434
