"Plot6"
"Time (sec)","Linear Velocity1 (mm/sec)","Linear Velocity3 (mm/sec)","Linear Velocity4 (mm/sec)"
0,0,0,0
0.01,9.45530445230951e-15,-0.119135761889655,-58.8390842872188
0.02,1.89107117513453e-14,-0.290326965500902,-117.67765096298
0.03,2.83663247498485e-14,-0.565340909143278,-176.515140196141
0.04,3.782224630586e-14,-0.996098460399048,-235.350896194808
0.05,4.72785793084429e-14,-1.63454001526146,-294.184124500204
0.06,5.67354266663364e-14,-2.53257406798622,-353.013850067954
0.07,6.61928913595608e-14,-3.74210155150235,-411.838876002642
0.08,7.56510764253683e-14,-5.31501623269294,-470.657747346107
0.09,8.51100850636971e-14,-7.30320446229705,-529.468716268
0.1,9.45700206335643e-14,-9.75854765499873,-588.269715381701
0.11,1.04030986747987e-13,-12.7329250598324,-647.058333345695
0.12,1.13493087355226e-13,-16.2782188189944,-705.831797536829
0.13,1.22956426844315e-13,-20.4463212452649,-764.586963041295
0.14,1.32421110173922e-13,-25.2891450720027,-823.320308743985
0.15,1.41887243019138e-13,-30.8586369160681,-882.027940070068
0.16,1.51354931957554e-13,-37.206795555048,-940.705601546884
0.17,1.60824284679518e-13,-44.3856951582414,-999.348697120523
0.18,1.70295410228063e-13,-52.4475144945868,-1057.95231892903
0.19,1.79768419281448e-13,-61.4445733009728,-1116.51128604097
0.2,1.89243424479793e-13,-71.4293789371892,-1175.02019504746
0.21,1.98720540789812e-13,-82.4546812791318,-1233.47347838843
0.22,2.08199885915467e-13,-94.5735384493511,-1291.86547230753
0.23,2.17681580770743e-13,-107.839398558669,-1350.19049874741
0.24,2.27165750004142e-13,-122.306195304739,-1408.44295598343
0.25,2.36652522585481e-13,-138.028461195542,-1466.61742010606
0.26,2.46142032459587e-13,-155.061460742804,-1524.70875709328
0.27,2.55634419271726e-13,-173.46134613836,-1582.71224506503
0.28,2.65129829170033e-13,-193.285338213748,-1640.623706256
0.29,2.74628415690407e-13,-214.591935772816,-1698.43964803719
0.3,2.84130340729373e-13,-237.441156676113,-1756.15741206254
0.31,2.93635775610657e-13,-261.894814343586,-1813.77533033647
0.32,3.03144902248196e-13,-288.016832015548,-1871.29288626736
0.33,3.12657914449878e-13,-315.873616050445,-1928.71088593681
0.34,3.22175019201986e-13,-345.53442725939,-1986.03160425201
0.35,3.31696438275631e-13,-377.071883244628,-2043.2589716273
0.36,3.41222409785899e-13,-410.562458799207,-2100.39871984365
0.37,3.50753189921085e-13,-446.087069316656,-2157.45852693241
0.38,3.60289054791486e-13,-483.731725006249,-2214.44814411908
0.39,3.69830302382601e-13,-523.588258156898,-2271.3794940236
0.4,3.79377254603109e-13,-565.755130572126,-2328.26672913095
0.41,3.88930259405112e-13,-610.338325074002,-2385.12623545145
0.42,3.98489692937533e-13,-657.452323927229,-2441.97656049506
0.43,4.08055961675718e-13,-707.221174096718,-2498.83823896892
0.44,4.17629504438763e-13,-759.779634945705,-2555.73347978766
0.45,4.2721079416679e-13,-815.274397310454,-2612.68566662038
0.46,4.36800339270585e-13,-873.865352336539,-2669.71860744045
0.47,4.46398684284878e-13,-935.726873043305,-2726.85544702506
0.48,4.56006409441071e-13,-1001.04904819615,-2784.11712684559
0.49,4.6562412861505e-13,-1070.03877403265,-2841.52023772218
0.5,4.75252484883553e-13,-1142.92055949078,-2899.07405871534
0.51,4.8489214261708e-13,-1219.93682871721,-2956.77650764656
0.52,4.94543774622859e-13,-1301.34740194093,-3014.6086410167
0.53,5.04208042297433e-13,-1387.42769116859,-3072.5272309505
0.54,5.1388556603002e-13,-1478.46494818332,-3130.4548151736
0.55,5.23576882155297e-13,-1574.75161725657,-3188.26645832365
0.56,5.33282381882034e-13,-1676.57457274784,-3245.77236303379
0.57,5.43002226049491e-13,-1784.19840204648,-3302.69527385821
0.58,5.52736229390101e-13,-1897.8407162115,-3358.64182421764
0.59,5.62483707349967e-13,-2017.63681491353,-3413.06721301805
0.6,5.72243280843502e-13,-2143.59109142333,-3465.23364532331
0.61,5.82012640019046e-13,-2275.51318832709,-3514.16492494836
0.62,5.91788280341772e-13,-2412.9390691234,-3558.60305387361
0.63,6.01565245613735e-13,-2555.04174780158,-3596.97796507414
0.64,6.11336943754104e-13,-2700.54424027279,-3627.40819741628
0.65,6.21095137039187e-13,-2847.65808895568,-3647.75635014667
0.66,6.30830232368271e-13,-2994.08157095352,-3655.76385816021
0.67,6.40531978859243e-13,-3137.09530208577,-3649.2781370184
0.68,6.50190587473079e-13,-3273.7793828803,-3626.55627144704
0.69,6.59798117731289e-13,-3401.33943819134,-3586.58746944412
0.7,6.6934979271305e-13,-3517.47760811389,-3529.34140703048
0.71,6.7884482624705e-13,-3620.70628153927,-3455.85002861727
0.72,6.88286469849164e-13,-3710.50795336641,-3368.08033960345
0.73,6.97681275131727e-13,-3787.29969080284,-3268.63404906794
0.74,7.07037853841576e-13,-3852.23449196361,-3160.37067179464
0.75,7.16365539692944e-13,-3906.92098011682,-3046.06069697922
0.76,7.25673282750164e-13,-3953.14680695401,-2928.13933988366
0.77,7.34968932115507e-13,-3992.66168930475,-2808.58009821497
0.78,7.44258901432855e-13,-4027.03882535212,-2688.86898086182
0.79,7.53548122664435e-13,-4057.60678187454,-2570.04448774944
0.8,7.62840173900636e-13,-4085.43231239321,-2452.76997955576
0.81,7.72137486868514e-13,-4111.33389415289,-2337.41445873885
0.820000000000001,7.81441571583918e-13,-4135.91022607477,-2224.12790261969
0.830000000000001,7.90753224025992e-13,-4159.57339174779,-2112.90505665002
0.840000000000001,8.00072702182194e-13,-4182.58089045099,-2003.63625663502
0.850000000000001,8.09399867743252e-13,-4205.06386153835,-1896.14639263865
0.860000000000001,8.18734296333823e-13,-4227.05066356549,-1790.22400615278
0.870000000000001,8.28075361490434e-13,-4248.48596341433,-1685.64267782412
0.880000000000001,8.37422297915419e-13,-4269.24592902729,-1582.17662498517
0.890000000000001,8.46774248988281e-13,-4289.1502567944,-1479.61206981171
0.900000000000001,8.56130302657747e-13,-4307.97174674961,-1377.75557709049
0.910000000000001,8.65489518956177e-13,-4325.44405381355,-1276.44024535364
0.920000000000001,8.74850951595007e-13,-4341.26813803463,-1175.53038067234
0.930000000000001,8.84213665451053e-13,-4355.11783201407,-1074.92508678773
0.940000000000001,8.93576751238691e-13,-4366.64485384476,-974.56104999889
0.950000000000001,9.0293933825461e-13,-4375.48350189036,-874.414710831486
0.960000000000001,9.12300605780107e-13,-4381.25521888387,-774.503897328723
0.970000000000001,9.21659793480466e-13,-4383.57313534437,-674.888979152897
0.980000000000001,9.31016210967564e-13,-4382.0466671665,-575.673538402179
0.990000000000001,9.40369246550599e-13,-4376.28619454473,-477.004538748211
1,9.4971837510527e-13,-4365.90781717281,-379.071958937175
1.01,9.59063164917669e-13,-4350.53814895746,-282.107852857482
1.02,9.6840328331533e-13,-4329.81909136669,-186.384800787184
1.03,9.77738500873077e-13,-4303.41250383185,-92.2137247368414
1.04,9.87068693976231e-13,-4271.00467408107,0.0589459423958882
1.05,9.96393845536866e-13,-4232.31048137504,90.0547563658626
1.06,1.00571404368638e-12,-4187.07714060834,177.367333903719
1.07,1.01502947831103e-12,-4135.08741737429,261.56708101711
1.08,1.02434043535149e-12,-4076.16221226544,342.206392598468
1.09,1.03364728885349e-12,-4010.1624291669,418.825320097623
1.1,1.04295049083072e-12,-3936.99006675803,490.957591093261
1.11,1.05225055908179e-12,-3856.58850684476,558.136885374192
1.12,1.06154806318923e-12,-3768.94201858153,619.903269097358
1.13,1.07084360901858e-12,-3674.07455675439,675.809699889077
1.14,1.0801378221319e-12,-3572.04800876049,725.428541090214
1.15,1.08943133063475e-12,-3462.9601444151,768.358066578083
1.16,1.09872474809736e-12,-3346.94265423673,804.229003966088
1.17,1.10801865734115e-12,-3224.15983844667,832.711260256271
1.18,1.11731359608187e-12,-3094.80874981204,853.52110949937
1.19,1.12661004569863e-12,-2959.12192498422,866.429308785143
1.2,1.13590842481431e-12,-2817.37430952674,871.270868996656
1.21,1.14520908979603e-12,-2669.89650194765,867.957493564375
1.22,1.15451234549499e-12,-2517.09756118386,856.494274475624
1.23,1.16381846981112e-12,-2359.50109461055,837.002492572727
1.24,1.17312775768932e-12,-2197.79999634331,809.751171275128
1.25,1.18244059069305e-12,-2032.9355987284,775.200202456202
1.26,1.19175753881468e-12,-1866.20679998863,734.057685154786
1.27,1.20107949899526e-12,-1699.41141643432,687.352368157114
1.28,1.21040786747193e-12,-1535.01283633527,636.517435145359
1.29,1.21974472647648e-12,-1376.30599785163,583.472415026405
1.3,1.22909299655153e-12,-1227.52499340089,530.674553739268
1.31,1.23845646711931e-12,-1093.79547380501,481.092163837617
1.32,1.24783958887495e-12,-980.810911354335,438.041526806135
1.33,1.25724693437021e-12,-894.148889121309,404.847501721583
1.34,1.26668235055275e-12,-838.283377633807,384.355727205559
1.35,1.27614802288508e-12,-815.563266116262,378.426471985892
1.36,1.28564381854626e-12,-825.569454920249,387.606763389029
1.37,1.29516721434168e-12,-865.162179809491,411.128635510355
1.38,1.30471383493922e-12,-929.200136595117,447.225270401841
1.39,1.31427833467939e-12,-1011.59658954263,493.608719391136
1.4,1.32385526521326e-12,-1106.30357564483,547.918994483457
1.41,1.33343969108312e-12,-1207.97282663427,608.027995540422
1.42,1.34302749828655e-12,-1312.25449396461,672.180050643754
1.43,1.35261546172704e-12,-1415.82542281609,739.010732721573
1.44,1.36220117160757e-12,-1516.26842723137,807.498912675293
1.45,1.37178290109434e-12,-1611.89733623215,876.894643498807
1.46,1.38135946576671e-12,-1701.58326460505,946.647579377833
1.47,1.3909300989753e-12,-1784.60672273412,1016.34674638901
