"Plot16"
"Time (sec)","Acceleration4 (mm/sec**2)","Acceleration5 (mm/sec**2)","Acceleration6 (mm/sec**2)"
0,1.68061656336843e-12,-210.445963813853,-10547.8798625414
0.01,1.68061656336843e-12,-209.963412283025,-10547.7270444396
0.02,1.68061656336843e-12,-208.492665777141,-10547.2580935447
0.03,1.68061656336843e-12,-206.034579356692,-10546.4660833855
0.04,1.68061656336843e-12,-202.609981577906,-10545.3466852213
0.05,1.68061656336843e-12,-198.196333161619,-10543.8743613119
0.06,1.68061656336843e-12,-192.778232031794,-10542.0211928129
0.07,1.68061656336843e-12,-186.351039218253,-10539.7579702784
0.08,1.68061656336843e-12,-178.90336170852,-10537.0472351802
0.09,1.68061656336843e-12,-170.420367978497,-10533.841536819
0.1,1.68061656336843e-12,-160.88584317206,-10530.0897084211
0.11,1.68061656336843e-12,-150.280351946261,-10525.7293268472
0.12,1.68061656336843e-12,-138.581928773959,-10520.6895348199
0.13,1.68061656336843e-12,-125.765675427053,-10514.8893692411
0.14,1.68061656336843e-12,-111.803550523721,-10508.2368107914
0.15,1.68061656336843e-12,-96.6640610644798,-10500.6275092519
0.16,1.68061656336843e-12,-80.3123513034368,-10491.9444560705
0.17,1.68061656336843e-12,-62.7095724110182,-10482.0556497672
0.18,1.68061656336843e-12,-43.81264923524,-10470.8127020035
0.19,1.68061656336843e-12,-23.5742858545921,-10458.0499044402
0.2,1.68061656336843e-12,-1.94277021320881,-10443.5823257936
0.21,1.68061656336843e-12,21.1391679163242,-10427.2025301721
0.22,1.68061656336843e-12,45.7327454473169,-10408.6813548271
0.23,1.68061656336843e-12,71.9050704680998,-10387.7625119583
0.24,1.68061656336843e-12,99.7287473417434,-10364.1609660443
0.25,1.68061656336843e-12,129.281212658195,-10337.5616138118
0.26,1.68061656336843e-12,160.646124895169,-10307.6131366935
0.27,1.68061656336843e-12,193.912141930243,-10273.9270224553
0.28,1.68061656336843e-12,229.173376738371,-10236.0722550647
0.29,1.68061656336843e-12,266.52894084739,-10193.5712851094
0.3,1.68061656336843e-12,306.082503019884,-10145.8951000521
0.31,1.68061656336843e-12,347.941641044475,-10092.4577323802
0.32,1.68061656336843e-12,392.216925885615,-10032.6101626093
0.33,1.68061656336843e-12,439.020690804775,-9965.63351268133
0.34,1.68061656336843e-12,488.454997694709,-9890.75562742315
0.35,1.68061656336843e-12,540.642825556156,-9807.06583705386
0.36,1.68061656336843e-12,595.705161417539,-9713.55011474886
0.37,1.68061656336843e-12,653.721170857085,-9609.16795923798
0.38,1.68061656336843e-12,714.769902459547,-9492.73337048698
0.39,1.68061656336843e-12,778.922654658042,-9362.90502630953
0.4,1.68061656336843e-12,846.221268822609,-9218.20754452674
0.41,1.68061656336843e-12,916.6712118707,-9057.01211885154
0.42,1.68061656336843e-12,990.231193156571,-8877.51879281939
0.43,1.68061656336843e-12,1066.79842038888,-8677.74183086848
0.44,1.68061656336843e-12,1146.18987827831,-8455.49615075625
0.45,1.68061656336843e-12,1228.11866576255,-8208.38599665486
0.46,1.68061656336843e-12,1312.16413939836,-7933.79778451615
0.47,1.68061656336843e-12,1397.7342971289,-7628.89998926411
0.48,1.68061656336843e-12,1484.01851375247,-7290.65417428032
0.49,1.68061656336843e-12,1569.9283927124,-6915.84294826683
0.5,1.68061656336843e-12,1654.02413784487,-6501.12289410252
0.51,1.68061656336843e-12,1734.42357832005,-6043.11344494904
0.52,1.68061656336843e-12,1808.69090864434,-5538.53632870779
0.53,1.68061656336843e-12,1873.70250899631,-4984.42454672164
0.54,1.68061656336843e-12,1925.48822405839,-4378.424545511
0.55,1.68061656336843e-12,1959.04862075218,-3719.21945019958
0.56,1.68061656336843e-12,1968.15259948613,-3007.10335448946
0.57,1.68061656336843e-12,1945.12600320725,-2244.73367525811
0.58,1.68061656336843e-12,1880.65108557239,-1438.07569796632
0.59,1.68061656336843e-12,1763.60892645277,-597.523869129971
0.6,1.68061656336843e-12,1580.97694960074,260.69863327462
0.61,1.68061656336843e-12,1318.09042480791,1114.30209361171
0.62,1.68061656336843e-12,958.513681129332,1931.93584534295
0.63,1.68061656336843e-12,485.053785592499,2675.61882233675
0.64,1.68061656336843e-12,-119.809156996053,3300.0953803241
0.65,1.68061656336843e-12,-872.956907590929,3756.20888931953
0.66,1.68061656336843e-12,-1789.95148272754,3995.4530992664
0.67,1.68061656336843e-12,-2884.87580310513,3976.22859074524
0.68,1.68061656336843e-12,-4171.14687304434,3670.72763323358
0.69,1.68061656336843e-12,-5663.63486521416,3070.8921122964
0.7,1.68061656336843e-12,-7382.17390100296,2191.77864684705
0.71,1.68061656336843e-12,-9356.24962168608,1071.27476296602
0.72,1.68061656336843e-12,-11630.4590027114,-233.691436136631
0.73,1.68061656336843e-12,-14270.3679698452,-1653.03826733549
0.74,1.68061656336843e-12,-17368.5816273512,-3109.34619969736
0.75,1.68061656336843e-12,-21050.9118809731,-4521.44479377421
0.76,1.68061656336843e-12,-25481.8229830877,-5804.21930944011
0.77,1.68061656336843e-12,-30867.7191133451,-6863.73172318087
0.78,1.68061656336843e-12,-37447.1492386849,-7588.19589501757
0.79,1.68061656336844e-12,-45457.2952597888,-7835.92963379037
0.8,1.68061656336844e-12,-55037.2403238588,-7427.30243081907
0.81,1.68061656336844e-12,-66025.2046637771,-6156.50798679265
0.820000000000001,1.68061656336844e-12,-77626.3880264015,-3854.69449135332
0.830000000000001,1.68061656336844e-12,-88088.6803888772,-535.423925953069
0.840000000000001,1.68061656336844e-12,-94832.6126236039,3421.28652251969
0.850000000000001,1.68061656336844e-12,-95538.0515091407,7241.0567152576
0.860000000000001,1.68061656336844e-12,-89714.2740821661,10081.1982692169
0.870000000000001,1.68061656336844e-12,-79148.4647687635,11505.9671373185
0.880000000000001,1.68061656336844e-12,-66651.353493196,11637.89381656
0.890000000000001,1.68061656336844e-12,-54515.5626773236,10911.2751017444
0.900000000000001,1.68061656336844e-12,-43936.0355840842,9768.13408871313
0.910000000000001,1.68061656336844e-12,-35235.8365968412,8516.88196682687
0.920000000000001,1.68061656336844e-12,-28281.1823305649,7327.08039076063
0.930000000000001,1.68061656336844e-12,-22777.1894009683,6271.97319593966
0.940000000000001,1.68061656336844e-12,-18416.7807760169,5370.08173121496
0.950000000000001,1.68061656336844e-12,-14936.0094399577,4612.56892931481
0.960000000000001,1.68061656336843e-12,-12126.2175725543,3978.87098059212
0.970000000000001,1.68061656336843e-12,-9829.17612614491,3444.65880017657
0.980000000000001,1.68061656336843e-12,-7927.75677451497,2985.62363418552
0.990000000000001,1.68061656336843e-12,-6336.83817162729,2579.19888785101
1,1.68061656336843e-12,-4995.77604145245,2205.27855895953
1.01,1.68061656336843e-12,-3862.64194278795,1846.52831023854
1.02,1.68061656336843e-12,-2909.84254215984,1488.64342948756
1.03,1.68061656336843e-12,-2120.83362028007,1120.5535688067
1.04,1.68061656336843e-12,-1487.55909785246,734.699310180892
1.05,1.68061656336843e-12,-1008.37707968262,327.339517893871
1.06,1.68061656336843e-12,-686.280278675576,-101.132940517181
1.07,1.68061656336843e-12,-527.276493099668,-545.908764468829
1.08,1.68061656336843e-12,-538.838059203142,-997.558810328253
1.09,1.68061656336843e-12,-728.361183634953,-1441.95484243759
1.1,1.68061656336843e-12,-1101.59992502339,-1860.3562596087
1.11,1.68061656336843e-12,-1661.0543160125,-2229.69839647695
1.12,1.68061656336843e-12,-2404.30268617926,-2523.11205820908
1.13,1.68061656336843e-12,-3322.27537787315,-2710.69805831505
1.14,1.68061656336843e-12,-4397.4778670457,-2760.57464161803
1.15,1.68061656336843e-12,-5602.19193187307,-2640.20763245103
1.16,1.68061656336843e-12,-6896.724384621,-2318.01529798127
1.17,1.68061656336843e-12,-8227.84031097033,-1765.199390618
1.18,1.68061656336843e-12,-9527.61699687332,-957.672224264037
1.19,1.68061656336843e-12,-10713.0643180923,122.199407259184
1.2,1.68061656336843e-12,-11686.9349058545,1484.54700627982
1.21,1.68061656336843e-12,-12340.0869086572,3132.48423851111
1.22,1.68061656336843e-12,-12555.4212211301,5065.32041304079
1.23,1.68061656336843e-12,-12212.6369091722,7286.01458306941
1.24,1.68061656336843e-12,-11191.7726376929,9814.53500170574
1.25,1.68061656336843e-12,-9371.88191249786,12708.7878648062
1.26,1.68061656336843e-12,-6619.61239067776,16095.1241753782
1.27,1.68061656336843e-12,-2761.46451880568,20209.5806095689
1.28,1.68061656336843e-12,2466.92226755406,25459.3742030192
1.29,1.68061656336843e-12,9498.67241257879,32502.5327260308
1.3,1.68061656336843e-12,19034.0352534722,42351.0397941321
1.31,1.68061656336843e-12,32098.6442952517,56425.8485199215
1.32,1.68061656336843e-12,49811.6809044708,76268.2563219017
1.33,1.68061656336843e-12,72155.0450393084,102031.864083577
1.34,1.68061656336843e-12,94910.2527987996,128660.384570118
1.35,1.68061656336843e-12,107690.937987013,143222.621456429
1.36,1.68061656336843e-12,102014.72674583,134682.383465702
1.37,1.68061656336843e-12,82699.6426483567,108561.318394206
1.38,1.68061656336844e-12,61124.5688787579,79185.7283631112
1.39,1.68061656336844e-12,43626.0771400134,54901.0229932891
1.4,1.68061656336844e-12,31111.97854394,37126.0620858307
1.41,1.68061656336844e-12,22520.7369186057,24618.9547907341
1.42,1.68061656336844e-12,16638.6598345143,15844.0066440508
1.43,1.68061656336844e-12,12556.1973075202,9612.72163454135
1.44,1.68061656336844e-12,9665.56106383553,5111.53155007725
1.45,1.68061656336844e-12,7573.50267269578,1802.33937807646
1.46,1.68061656336844e-12,6025.98619113797,-670.268739371137
1.47,1.68061656336844e-12,4857.22316919375,-2544.05134827466
1.48,1.68061656336843e-12,3957.47487007659,-3981.10963232393
1.49,1.68061656336843e-12,3253.22646844514,-5094.31980556215
1.5,1.68061656336844e-12,2694.8536719763,-5964.04711993634
1.51,1.68061656336844e-12,2248.88687693357,-6648.81922488539
1.52,1.68061656336843e-12,1893.18250655357,-7192.11112647965
1.53,1.68061656336843e-12,1613.7027581213,-7626.91011526602
1.54,1.68061656336843e-12,1402.49119652204,-7978.62124245315
1.55,1.68061656336843e-12,1256.287310815,-8267.02969846835
1.56,1.68061656336843e-12,1175.58676215988,-8507.57861342007
1.57,1.68061656336843e-12,1163.97094543118,-8712.18895311178
1.58,1.68061656336843e-12,1227.59480579875,-8889.75906759594
1.59,1.68061656336843e-12,1374.75193554,-9046.43872910904
1.6,1.68061656336843e-12,1615.4517846773,-9185.7444943089
1.61,1.68061656336843e-12,1960.95021893972,-9308.56836711444
1.62,1.68061656336843e-12,2423.17283134597,-9413.12443364796
1.63,1.68061656336843e-12,3013.96269473196,-9494.87869101042
1.64,1.68061656336843e-12,3744.0726962575,-9546.51463884229
1.65,1.68061656336843e-12,4621.81072158664,-9558.00292259323
1.66,1.68061656336843e-12,5651.24390216082,-9516.86684517073
1.67,1.68061656336843e-12,6829.88935286267,-9408.76525459204
1.68,1.68061656336843e-12,8145.89103114559,-9218.54267465276
1.69,1.68061656336843e-12,9574.83731208344,-8931.90385225313
1.7,1.68061656336843e-12,11076.6458047808,-8537.82439862203
1.71,1.68061656336843e-12,12593.3310716567,-8031.66174913199
1.72,1.68061656336843e-12,14048.8946394709,-7418.63959916559
1.73,1.68061656336843e-12,15352.8122948636,-6716.95410870264
1.74,1.68061656336843e-12,16408.2730319931,-5959.32316039476
1.75,1.68061656336843e-12,17125.1095051116,-5191.66423246036
1.76,1.68061656336843e-12,17435.3136341668,-4468.09289893176
1.77,1.68061656336843e-12,17306.9694986753,-3842.69526126087
1.78,1.68061656336843e-12,16751.6742111972,-3360.11725738603
1.79,1.68061656336843e-12,15822.9611785939,-3047.76286175118
1.8,1.68061656336843e-12,14604.3258492998,-2912.55612932766
1.81,1.68061656336843e-12,13194.0038122962,-2942.17107746983
1.82,1.68061656336843e-12,11688.2959253531,-3110.48054225033
1.83,1.68061656336843e-12,10170.0597200094,-3384.20023421131
1.84,1.68061656336843e-12,8702.59364382552,-3729.04503651
1.85,1.68061656336843e-12,7328.72347158634,-4114.08629839735
1.86,1.68061656336843e-12,6073.25229704292,-4514.02276355133
1.87,1.68061656336843e-12,4946.90207257393,-4909.8156336101
1.88,1.68061656336843e-12,3950.43675982267,-5288.254354602
1.89,1.68061656336843e-12,3078.22762427558,-5641.00293903904
1.9,1.68061656336843e-12,2320.99777627605,-5963.50433610206
1.91,1.68061656336843e-12,1667.78673821728,-6253.94077709497
1.92,1.68061656336843e-12,1107.19799522216,-6512.39538219571
1.93,1.68061656336843e-12,628.203321569607,-6740.16591719622
1.94,1.68061656336843e-12,220.554761956707,-6939.28182872734
1.95,1.68061656336843e-12,-125.014287967906,-7112.15286758489
1.96,1.68061656336843e-12,-416.735310133828,-7261.33217942107
1.97,1.68061656336843e-12,-661.833604314089,-7389.3615922868
1.98,1.68061656336843e-12,-866.601578133604,-7498.6757500582
1.99,1.68061656336843e-12,-1036.49124192813,-7591.54679036185
2,1.68061656336843e-12,-1176.2141227186,-7670.05783656764
2.01,1.68061656336843e-12,-1289.83297329035,-7736.09194346585
2.02,1.68061656336843e-12,-1380.8508561718,-7791.33488391647
2.03,1.68061656336843e-12,-1452.28974362442,-7837.28409975551
2.04,1.68061656336843e-12,-1506.75814106221,-7875.26086395398
2.05,1.68061656336843e-12,-1546.51072231955,-7906.42474875963
2.06,1.68061656336843e-12,-1573.4992415592,-7931.78846562473
2.07,1.68061656336843e-12,-1589.41600791472,-7952.23241028497
2.08,1.68061656336843e-12,-1595.7308700564,-7968.51843376807
2.09,1.68061656336843e-12,-1593.72259791035,-7981.30259383102
2.1,1.68061656336843e-12,-1584.50548375957,-7991.1467781092
2.11,1.68061656336843e-12,-1569.05190186869,-7998.52917376212
2.12,1.68061656336843e-12,-1548.21143374984,-8003.85361813581
2.13,1.68061656336843e-12,-1522.72708368913,-8007.45790328371
2.14,1.68061656336843e-12,-1493.24906436752,-8009.62111022743
2.15,1.68061656336843e-12,-1460.34651366037,-8010.57005931118
2.16,1.68061656336843e-12,-1424.51745076763,-8010.48497159384
2.17,1.68061656336843e-12,-1386.19725934829,-8009.50442785169
2.18,1.68061656336843e-12,-1345.76591368579,-8007.72969511161
2.19,1.68061656336843e-12,-1303.55376194079,-8005.22821939386
2.2,1.68061656336843e-12,-1259.84883782597,-8002.03846162217
2.21,1.68061656336843e-12,-1214.89662678137,-7998.1692936917
2.22,1.68061656336843e-12,-1168.90923381061,-7993.60648055306
2.23,1.68061656336843e-12,-1122.06621757589,-7988.31304040849
2.24,1.68061656336843e-12,-1074.51507528333,-7982.22965256171
2.25,1.68061656336843e-12,-1026.37861923109,-7975.27992257905
2.26,1.68061656336843e-12,-977.752095622242,-7967.36845230875
2.27,1.68061656336843e-12,-928.707387535112,-7958.38404165588
2.28,1.68061656336843e-12,-879.293538761973,-7948.20031673283
2.29,1.68061656336843e-12,-829.537883184018,-7936.67688692588
2.29999999999999,1.68061656336843e-12,-779.446926924798,-7923.66039719723
2.30999999999999,1.68061656336843e-12,-729.007013478831,-7908.98552774359
2.31999999999999,1.68061656336843e-12,-678.184852420158,-7892.4760038085
2.32999999999999,1.68061656336843e-12,-626.927933006978,-7873.94562351416
2.33999999999999,1.68061656336843e-12,-575.164834482251,-7853.19937598792
2.34999999999999,1.68061656336843e-12,-522.80549807494,-7830.03463756769
2.35999999999999,1.68061656336843e-12,-469.741443332523,-7804.24254349019
2.36999999999999,1.68061656336843e-12,-415.846021202945,-7775.60951764635
2.37999999999999,1.68061656336843e-12,-360.974678361354,-7743.91906809407
2.38999999999999,1.68061656336843e-12,-304.965344335886,-7708.95383220287
2.39999999999999,1.68061656336843e-12,-247.638914105185,-7670.49798861688
2.40999999999999,1.68061656336843e-12,-188.799956228902,-7628.34001830028
2.41999999999999,1.68061656336843e-12,-128.237634678778,-7582.27592431472
2.42999999999999,1.68061656336843e-12,-65.7269611585626,-7532.11290210583
2.43999999999999,1.68061656336843e-12,-1.03041763270896,-7477.6735305841
2.44999999999999,1.68061656336843e-12,66.0999781323918,-7418.80047556669
2.45999999999999,1.68061656336843e-12,135.920079336488,-7355.36171840018
2.46999999999999,1.68061656336843e-12,208.690451112681,-7287.25626067005
2.47999999999999,1.68061656336843e-12,284.672573172474,-7214.42023363728
2.48999999999999,1.68061656336843e-12,364.124389899766,-7136.83328065097
2.49999999999999,1.68061656336843e-12,447.295210889,-7054.52500493894
