"Plot17"
"Time (sec)","Angular Velocity3 (deg/sec)"
0,0
0.01,0.644787752286358
0.02,1.2902601397292
0.03,1.93709156447511
0.04,2.58595417533239
0.05,3.2375084341196
0.06,3.89240022712444
0.07,4.55125680252894
0.08,5.2146823413406
0.09,5.88325441585714
0.1,6.55751750152429
0.11,7.2379790557672
0.12,7.92510329096257
0.13,8.61930506516001
0.14,9.32094312468331
0.15,10.0303126909818
0.16,10.7476375129555
0.17,11.4730608924402
0.18,12.2066359983025
0.19,12.9483153162065
0.2,13.6979389486461
0.21,14.455221597766
0.22,15.219738443769
0.23,15.9909096071623
0.24,16.7679826341724
0.25,17.550013250628
0.26,18.3358439247606
0.27,19.124079920758
0.28,19.9130624726002
0.29,20.7008386273469
0.3,21.4851272221016
0.31,22.2632803520274
0.32,23.0322395622723
0.33,23.7884858515931
0.34,24.527982676406
0.35,25.2461085637079
0.36,25.9375845129394
0.37,26.5963825295851
0.38,27.2156251009028
0.39,27.7874662757519
0.4,28.3029527922037
0.41,28.7518618987215
0.42,29.122511297234
0.43,29.4015364080032
0.44,29.5736289901314
0.45,29.6212306531431
0.46,29.5241737323191
0.47,29.2592614655752
0.48,28.7997788890702
0.49,28.1149260268434
0.5,27.169166026144
0.51,25.9214835482554
0.52,24.324553958338
0.53,22.3238329008039
0.54,19.8565906131932
0.55,16.8509380496581
0.56,13.2249253087484
0.57,8.88583949871457
0.58,3.72989035506268
0.59,-2.35745451510991
0.6,-9.50014377156572
0.61,-17.8288447805329
0.62,-27.4764278096237
0.63,-38.5714132845094
0.64,-51.2293154163922
0.65,-65.5424241038675
0.66,-81.5692307726842
0.67,-99.3254621234362
0.68,-118.779165480522
0.69,-139.852131753976
0.7,-162.428908950257
0.71,-186.37287849827
0.72,-211.546886975977
0.73,-237.834459082938
0.74,-265.157083368484
0.75,-293.483250168573
0.76,-322.825013429584
0.77,-353.216789871037
0.78,-384.667901476615
0.79,-417.075365587645
0.8,-450.079381438302
0.81,-482.852761192728
0.820000000000001,-513.863801954406
0.830000000000001,-540.771690152299
0.840000000000001,-560.756523505581
0.850000000000001,-571.484103891329
0.860000000000001,-572.288502367308
0.870000000000001,-564.588167167067
0.880000000000001,-551.120203591447
0.890000000000001,-534.731004209027
0.900000000000001,-517.604659832826
0.910000000000001,-501.100055467741
0.920000000000001,-485.915790311944
0.930000000000001,-472.320451719834
0.940000000000001,-460.335918742942
0.950000000000001,-449.856157457908
0.960000000000001,-440.716168555249
0.970000000000001,-432.729096726037
0.980000000000001,-425.704817187173
0.990000000000001,-419.458344589255
1,-413.81290222433
1.01,-408.600331855946
1.02,-403.660290801773
1.03,-398.83897993382
1.04,-393.987770865461
1.05,-388.961890680802
1.06,-383.619210731217
1.07,-377.819127253612
1.08,-371.421494585646
1.09,-364.285564586788
1.1,-356.268893674073
1.11,-347.226200140577
1.12,-337.008188988251
1.13,-325.460410412615
1.14,-312.422281921416
1.15,-297.726481315232
1.16,-281.199001763661
1.17,-262.660234283833
1.18,-241.927473250442
1.19,-218.819169212304
1.2,-193.160995712824
1.21,-164.793255592754
1.22,-133.578261085667
1.23,-99.4051310965897
1.24,-62.1882360901999
1.25,-21.8548695588284
1.26,21.6815077581273
1.27,68.5628030415839
1.28,119.035763359598
1.29,173.487149407285
1.3,232.408839546311
1.31,296.15889686706
1.32,364.227189621101
1.33,433.557655596972
1.34,496.078988559534
1.35,538.694723034848
1.36,551.280861499504
1.37,536.537186025716
1.38,506.476163309068
1.39,471.972376551852
1.4,438.882534346362
1.41,409.395628661668
1.42,383.920912499254
1.43,362.181574436844
1.44,343.702669161535
1.45,327.999965896085
1.46,314.641915215101
1.47,303.262156246587
1.48,293.554550381168
1.49,285.263322378695
1.5,278.172959682958
1.51,272.099385778342
1.52,266.882700726107
1.53,262.381387945743
1.54,258.467734953691
1.55,255.024232421274
1.56,251.940737721629
1.57,249.112228052125
1.58,246.437002009158
1.59,243.815217605153
1.6,241.147679814844
1.61,238.334814466082
