"Plot15"
"Time (sec)","Velocity2 (mm/sec)","Velocity3 (mm/sec)","Velocity4 (mm/sec)"
0,0,0,0
0.01,1.68061656336843e-14,-2.10284895458227,-105.478289609734
0.02,3.36123312673687e-14,-4.19589757429669,-210.953461658189
0.03,5.0418496901053e-14,-6.26940806697889,-316.4223743513
0.04,6.72246625347374e-14,-8.31354940299934,-421.881757194386
0.05,8.40308281684217e-14,-10.3184470154277,-527.328176787875
0.06,1.00836993802106e-13,-12.2741580937502,-632.757980492818
0.07,1.1764315943579e-13,-14.1706492625084,-738.167231600072
0.08,1.34449325069475e-13,-15.9977758636104,-843.551642591932
0.09,1.51255490703159e-13,-17.7452629515602,-948.906516078731
0.1,1.68061656336843e-13,-19.4026779864898,-1054.22665214722
0.11,1.84867821970528e-13,-20.9594101047105,-1159.50628230076
0.12,2.01673987604212e-13,-22.4046421739293,-1264.73897482011
0.13,2.18480153237896e-13,-23.727322892246,-1369.91753951113
0.14,2.35286318871581e-13,-24.9161364566539,-1475.03392213525
0.15,2.52092484505265e-13,-25.9594698497963,-1580.07908826597
0.16,2.68898650138949e-13,-26.8453786003453,-1685.04289802503
0.17,2.85704815772634e-13,-27.5615488661911,-1789.91396478143
0.18,3.02510981406318e-13,-28.0952576591074,-1894.67950197044
0.19,3.19317147040003e-13,-28.433331082147,-1999.32515576425
0.2,3.36123312673687e-13,-28.5620997801262,-2103.83481980706
0.21,3.52929478307371e-13,-28.4673506861765,-2208.19042888693
0.22,3.69735643941056e-13,-28.1342781674852,-2312.37173568284
0.23,3.8654180957474e-13,-27.5474338135754,-2416.35606614832
0.24,4.03347975208424e-13,-26.6906723427177,-2520.11804509694
0.25,4.20154140842109e-13,-25.5470975212686,-2623.62929713254
0.26,4.36960306475793e-13,-24.0990072642591,-2726.85811679309
0.27,4.53766472109477e-13,-22.3278387458097,-2829.76910466016
0.28,4.70572637743162e-13,-20.2141145430641,-2932.3227658902
0.29,4.87378803376846e-13,-17.7373909478802,-3034.47506695495
0.3,5.0418496901053e-13,-14.8762099116725,-3136.17694585997
0.31,5.20991134644215e-13,-11.6080564915764,-3237.37377050755
0.32,5.37797300277899e-13,-7.90932411701971,-3338.00473923527
0.33,5.54603465911583e-13,-3.75529052702929,-3438.0022168743
0.34,5.71409631545268e-13,0.879891998828129,-3537.29100191959
0.35,5.88215797178952e-13,6.02319313412762,-3635.7874891818
0.36,6.05021962812636e-13,11.7026532642975,-3733.39881811533
0.37,6.21828128446321e-13,17.9473416347766,-3830.0218109133
0.38,6.38634294080005e-13,24.7872415608773,-3925.54188731446
0.39,6.55440459713689e-13,32.2530952756907,-4019.83183349201
0.4,6.72246625347374e-13,40.3761848116623,-4112.75044094978
0.41,6.89052790981058e-13,49.1880301067393,-4204.14101023756
0.42,7.05858956614742e-13,58.719982478698,-4293.82971097044
0.43,7.22665122248427e-13,69.002686790654,-4381.6237961747
0.44,7.39471287882111e-13,80.0653762402053,-4467.30967539048
0.45,7.56277453515795e-13,91.9349566054985,-4550.65086204812
0.46,7.7308361914948e-13,104.634823759468,-4631.38582641232
0.47,7.89889784783164e-13,118.18334541441,-4709.2258094087
0.48,8.06695950416848e-13,132.591920094423,-4783.852686973
0.49,8.23502116050533e-13,147.862506119053,-4854.9170236333
0.5,8.40308281684217e-13,163.98448898882,-4922.03652273787
0.51,8.57114447317901e-13,180.930728193106,-4984.79517513664
0.52,8.73920612951586e-13,198.652595273593,-5042.74353557217
0.53,8.9072677858527e-13,217.073786562368,-5095.40072344159
0.54,9.07532944218955e-13,236.082672135959,-5142.25895764601
0.55,9.24339109852639e-13,255.522935700857,-5182.79169381671
0.56,9.41145275486323e-13,275.182283001076,-5216.46672432854
0.57,9.57951441120008e-13,294.779069080824,-5242.76589239824
0.58,9.74757606753692e-13,313.946844688004,-5261.21328799438
0.59,9.91563772387376e-13,332.21707961925,-5271.41380401983
0.6,1.00836993802106e-12,349.000697215982,-5273.10357801948
0.61,1.02517610365474e-12,363.569667929191,-5266.21239107695
0.62,1.04198226928843e-12,375.040237713624,-5250.93706892493
0.63,1.05878843492211e-12,382.360316109599,-5227.81964003785
0.64,1.0755946005558e-12,384.303234191687,-5197.82156082141
0.65,1.09240076618948e-12,379.469695831423,-5162.37898488083
0.66,1.10920693182317e-12,366.297760263187,-5123.42103226998
0.67,1.12601309745685e-12,343.077471158977,-5083.33302778436
0.68,1.14281926309054e-12,307.962558766285,-5044.85294971776
0.69,1.15962542872422e-12,258.967674047074,-5010.90222059262
0.7,1.1764315943579e-12,193.937415770742,-4984.36863473623
0.71,1.19323775999159e-12,110.474078544115,-4967.87344098425
0.72,1.21004392562527e-12,5.81430379414722,-4963.55948170748
0.73,1.22685009125896e-12,-123.351098693621,-4972.92932154716
0.74,1.24365625689264e-12,-281.11704470957,-4996.74380579095
0.75,1.26046242252633e-12,-472.665438336059,-5034.96924356992
0.76,1.27726858816001e-12,-704.626337552973,-5086.74245972166
0.77,1.29407475379369e-12,-985.483148634045,-5150.31114159825
0.78,1.31088091942738e-12,-1325.95875511699,-5222.90359125164
0.79,1.32768708506106e-12,-1739.20449304239,-5300.49042027755
0.8,1.34449325069475e-12,-2240.36875044623,-5377.43788695763
0.81,1.36129941632843e-12,-2844.71231780952,-5446.15968541957
0.820000000000001,1.37810558196212e-12,-3563.02958790668,-5497.11222743247
